season,home_team_score,visitor_team_score,home_team.id,visitor_team.id,home_team_wins,visitor_team_wins
2018,105,87,2,23,1,0
2018,108,100,10,21,1,0
2018,112,113,4,17,0,1
2018,103,100,9,3,1,0
2018,111,83,12,15,1,0
2018,104,101,22,16,1,0
2018,126,107,20,1,1,0
2018,116,104,28,6,1,0
2018,112,131,11,19,0,1
2018,112,108,27,18,1,0
2018,117,123,26,29,0,1
2018,98,107,13,8,0,1
2018,121,100,24,7,1,0
2018,128,119,25,14,1,0
2018,112,113,30,16,0,1
2018,127,108,23,5,1,0
2018,88,120,22,4,0,1
2018,107,105,3,20,1,0
2018,113,101,28,2,1,0
2018,131,123,18,6,1,0
2018,149,129,19,26,1,0
2018,118,101,17,12,1,0
2018,123,124,29,10,0,1
2018,131,117,15,1,1,0
2018,108,92,13,21,1,0
2018,115,124,14,11,0,1
2018,121,108,25,27,1,0
2018,119,91,8,24,1,0
2018,140,136,7,18,1,0
2018,116,118,5,9,0,1
2018,101,103,20,2,0,1
2018,116,115,23,22,1,0
2018,113,117,30,28,0,1
2018,132,112,12,3,1,0
2018,112,113,16,4,0,1
2018,111,133,6,1,0,1
2018,120,131,21,26,0,1
2018,100,98,8,10,1,0
2018,115,112,13,11,1,0
2018,142,143,14,27,0,1
2018,123,103,10,24,1,0
2018,124,125,25,30,0,1
2018,84,92,29,15,0,1
2018,115,109,7,5,1,0
2018,124,113,17,20,1,0
2018,127,106,28,4,1,0
2018,90,93,2,22,0,1
2018,101,91,18,12,1,0
2018,133,132,9,23,1,0
2018,116,109,19,13,1,0
2018,126,112,8,26,1,0
2018,96,116,27,12,0,1
2018,144,122,10,30,1,0
2018,97,92,26,15,1,0
2018,123,108,17,23,1,0
2018,89,100,11,29,0,1
2018,113,131,24,14,0,1
2018,112,105,28,18,1,0
2018,110,87,16,20,1,0
2018,112,110,5,4,1,0
2018,86,102,6,3,0,1
2018,111,104,1,7,1,0
2018,110,103,9,6,1,0
2018,114,128,22,25,0,1
2018,95,101,21,2,0,1
2018,121,114,14,8,1,0
2018,116,112,26,30,1,0
2018,117,115,19,3,1,0
2018,95,125,18,17,0,1
2018,135,106,4,5,1,0
2018,116,107,28,7,1,0
2018,100,128,20,10,0,1
2018,113,133,11,13,0,1
2018,117,96,15,24,1,0
2018,110,106,27,14,1,0
2018,113,91,17,22,1,0
2018,120,111,16,25,1,0
2018,89,109,9,2,0,1
2018,85,97,1,5,0,1
2018,107,119,6,12,0,1
2018,111,132,19,29,0,1
2018,105,103,23,4,1,0
2018,104,113,7,29,0,1
2018,114,120,3,10,0,1
2018,117,110,21,24,1,0
2018,136,104,13,30,1,0
2018,116,111,8,19,1,0
2018,113,108,27,7,1,0
2018,124,120,18,14,1,0
2018,124,109,17,28,1,0
2018,113,123,16,26,0,1
2018,115,96,20,3,1,0
2018,113,92,23,1,1,0
2018,93,103,12,25,0,1
2018,124,149,5,10,0,1
2018,125,113,4,16,1,0
2018,136,114,6,1,1,0
2018,99,107,22,26,0,1
2018,108,105,2,9,1,0
2018,129,112,28,23,1,0
2018,85,104,11,25,0,1
2018,107,95,15,30,1,0
2018,128,110,21,13,1,0
2018,90,120,24,27,0,1
2018,114,113,14,7,1,0
2018,131,121,10,19,1,0
2018,107,108,5,8,0,1
2018,101,107,20,12,0,1
2018,120,119,3,9,1,0
2018,128,125,18,29,1,0
2018,107,111,4,21,0,1
2018,91,110,6,8,0,1
2018,122,113,23,13,1,0
2018,115,146,1,26,0,1
2018,117,113,2,17,1,0
2018,132,119,25,19,1,0
2018,100,110,29,15,0,1
2018,116,99,10,18,1,0
2018,98,107,24,28,0,1
2018,106,118,7,20,0,1
2018,95,120,22,13,0,1
