id,date,season,status,period,time,postseason,home_team_score,visitor_team_score,home_team.id,home_team.city,home_team.full_name,visitor_team.id,visitor_team.city,visitor_team.full_name,home_team_wins,visitor_team_wins
1,2018-10-16,2018,Final,4, ,False,105,87,2,Boston,Boston Celtics,23,Philadelphia,Philadelphia 76ers,1,0
2,2018-10-16,2018,Final,4, ,False,108,100,10,Golden State,Golden State Warriors,21,Oklahoma City,Oklahoma City Thunder,1,0
3,2018-10-17,2018,Final,4, ,False,112,113,4,Charlotte,Charlotte Hornets,17,Milwaukee,Milwaukee Bucks,0,1
4,2018-10-17,2018,Final,4, ,False,103,100,9,Detroit,Detroit Pistons,3,Brooklyn,Brooklyn Nets,1,0
5,2018-10-17,2018,Final,4, ,False,111,83,12,Indiana,Indiana Pacers,15,Memphis,Memphis Grizzlies,1,0
6,2018-10-17,2018,Final,4, ,False,104,101,22,Orlando,Orlando Magic,16,Miami,Miami Heat,1,0
7,2018-10-17,2018,Final,4, ,False,126,107,20,New York,New York Knicks,1,Atlanta,Atlanta Hawks,1,0
8,2018-10-17,2018,Final,4, ,False,116,104,28,Toronto,Toronto Raptors,6,Cleveland,Cleveland Cavaliers,1,0
9,2018-10-17,2018,Final,4, ,False,112,131,11,Houston,Houston Rockets,19,New Orleans,New Orleans Pelicans,0,1
10,2018-10-17,2018,Final,4, ,False,112,108,27,San Antonio,San Antonio Spurs,18,Minnesota,Minnesota Timberwolves,1,0
11,2018-10-17,2018,Final,4, ,False,117,123,26,Sacramento,Sacramento Kings,29,Utah,Utah Jazz,0,1
12,2018-10-17,2018,Final,4, ,False,98,107,13,LA,LA Clippers,8,Denver,Denver Nuggets,0,1
13,2018-10-17,2018,Final,4, ,False,121,100,24,Phoenix,Phoenix Suns,7,Dallas,Dallas Mavericks,1,0
16,2018-10-18,2018,Final,4, ,False,128,119,25,Portland,Portland Trail Blazers,14,Los Angeles,Los Angeles Lakers,1,0
15,2018-10-18,2018,Final,4, ,False,112,113,30,Washington,Washington Wizards,16,Miami,Miami Heat,0,1
14,2018-10-18,2018,Final,4, ,False,127,108,23,Philadelphia,Philadelphia 76ers,5,Chicago,Chicago Bulls,1,0
17,2018-10-19,2018,Final,4, ,False,88,120,22,Orlando,Orlando Magic,4,Charlotte,Charlotte Hornets,0,1
18,2018-10-19,2018,Final,4, ,False,107,105,3,Brooklyn,Brooklyn Nets,20,New York,New York Knicks,1,0
19,2018-10-19,2018,Final,4, ,False,113,101,28,Toronto,Toronto Raptors,2,Boston,Boston Celtics,1,0
20,2018-10-19,2018,Final,4, ,False,131,123,18,Minnesota,Minnesota Timberwolves,6,Cleveland,Cleveland Cavaliers,1,0
21,2018-10-19,2018,Final,4, ,False,149,129,19,New Orleans,New Orleans Pelicans,26,Sacramento,Sacramento Kings,1,0
22,2018-10-19,2018,Final,4, ,False,118,101,17,Milwaukee,Milwaukee Bucks,12,Indiana,Indiana Pacers,1,0
23,2018-10-19,2018,Final,4, ,False,123,124,29,Utah,Utah Jazz,10,Golden State,Golden State Warriors,0,1
24,2018-10-19,2018,Final,4, ,False,131,117,15,Memphis,Memphis Grizzlies,1,Atlanta,Atlanta Hawks,1,0
25,2018-10-19,2018,Final,4, ,False,108,92,13,LA,LA Clippers,21,Oklahoma City,Oklahoma City Thunder,1,0
35,2018-10-20,2018,Final,4, ,False,115,124,14,Los Angeles,Los Angeles Lakers,11,Houston,Houston Rockets,0,1
34,2018-10-20,2018,Final,4, ,False,121,108,25,Portland,Portland Trail Blazers,27,San Antonio,San Antonio Spurs,1,0
33,2018-10-20,2018,Final,4, ,False,119,91,8,Denver,Denver Nuggets,24,Phoenix,Phoenix Suns,1,0
32,2018-10-20,2018,Final,4, ,False,140,136,7,Dallas,Dallas Mavericks,18,Minnesota,Minnesota Timberwolves,1,0
31,2018-10-20,2018,Final,4, ,False,116,118,5,Chicago,Chicago Bulls,9,Detroit,Detroit Pistons,0,1
28,2018-10-20,2018,Final,4, ,False,101,103,20,New York,New York Knicks,2,Boston,Boston Celtics,0,1
29,2018-10-20,2018,Final,4, ,False,116,115,23,Philadelphia,Philadelphia 76ers,22,Orlando,Orlando Magic,1,0
27,2018-10-20,2018,Final,4, ,False,113,117,30,Washington,Washington Wizards,28,Toronto,Toronto Raptors,0,1
26,2018-10-20,2018,Final,4, ,False,132,112,12,Indiana,Indiana Pacers,3,Brooklyn,Brooklyn Nets,1,0
30,2018-10-20,2018,Final,4, ,False,112,113,16,Miami,Miami Heat,4,Charlotte,Charlotte Hornets,0,1
36,2018-10-21,2018,Final,4, ,False,111,133,6,Cleveland,Cleveland Cavaliers,1,Atlanta,Atlanta Hawks,0,1
37,2018-10-21,2018,Final,4, ,False,120,131,21,Oklahoma City,Oklahoma City Thunder,26,Sacramento,Sacramento Kings,0,1
38,2018-10-21,2018,Final,4, ,False,100,98,8,Denver,Denver Nuggets,10,Golden State,Golden State Warriors,1,0
39,2018-10-21,2018,Final,4, ,False,115,112,13,LA,LA Clippers,11,Houston,Houston Rockets,1,0
48,2018-10-22,2018,Final,4, ,False,142,143,14,Los Angeles,Los Angeles Lakers,27,San Antonio,San Antonio Spurs,0,1
47,2018-10-22,2018,Final,4, ,False,123,103,10,Golden State,Golden State Warriors,24,Phoenix,Phoenix Suns,1,0
46,2018-10-22,2018,Final,4, ,False,124,125,25,Portland,Portland Trail Blazers,30,Washington,Washington Wizards,0,1
45,2018-10-22,2018,Final,4, ,False,84,92,29,Utah,Utah Jazz,15,Memphis,Memphis Grizzlies,0,1
44,2018-10-22,2018,Final,4, ,False,115,109,7,Dallas,Dallas Mavericks,5,Chicago,Chicago Bulls,1,0
42,2018-10-22,2018,Final,4, ,False,124,113,17,Milwaukee,Milwaukee Bucks,20,New York,New York Knicks,1,0
41,2018-10-22,2018,Final,4, ,False,127,106,28,Toronto,Toronto Raptors,4,Charlotte,Charlotte Hornets,1,0
40,2018-10-22,2018,Final,4, ,False,90,93,2,Boston,Boston Celtics,22,Orlando,Orlando Magic,0,1
43,2018-10-22,2018,Final,4, ,False,101,91,18,Minnesota,Minnesota Timberwolves,12,Indiana,Indiana Pacers,1,0
49,2018-10-23,2018,Final,4, ,False,133,132,9,Detroit,Detroit Pistons,23,Philadelphia,Philadelphia 76ers,1,0
50,2018-10-23,2018,Final,4, ,False,116,109,19,New Orleans,New Orleans Pelicans,13,LA,LA Clippers,1,0
51,2018-10-23,2018,Final,4, ,False,126,112,8,Denver,Denver Nuggets,26,Sacramento,Sacramento Kings,1,0
58,2018-10-24,2018,Final,4, ,False,96,116,27,San Antonio,San Antonio Spurs,12,Indiana,Indiana Pacers,0,1
62,2018-10-24,2018,Final,4, ,False,144,122,10,Golden State,Golden State Warriors,30,Washington,Washington Wizards,1,0
61,2018-10-24,2018,Final,4, ,False,97,92,26,Sacramento,Sacramento Kings,15,Memphis,Memphis Grizzlies,1,0
59,2018-10-24,2018,Final,4, ,False,123,108,17,Milwaukee,Milwaukee Bucks,23,Philadelphia,Philadelphia 76ers,1,0
57,2018-10-24,2018,Final,4, ,False,89,100,11,Houston,Houston Rockets,29,Utah,Utah Jazz,0,1
60,2018-10-24,2018,Final,4, ,False,113,131,24,Phoenix,Phoenix Suns,14,Los Angeles,Los Angeles Lakers,0,1
55,2018-10-24,2018,Final,4, ,False,112,105,28,Toronto,Toronto Raptors,18,Minnesota,Minnesota Timberwolves,1,0
54,2018-10-24,2018,Final,4, ,False,110,87,16,Miami,Miami Heat,20,New York,New York Knicks,1,0
56,2018-10-24,2018,Final,4, ,False,112,110,5,Chicago,Chicago Bulls,4,Charlotte,Charlotte Hornets,1,0
53,2018-10-24,2018,Final,4, ,False,86,102,6,Cleveland,Cleveland Cavaliers,3,Brooklyn,Brooklyn Nets,0,1
52,2018-10-24,2018,Final,4, ,False,111,104,1,Atlanta,Atlanta Hawks,7,Dallas,Dallas Mavericks,1,0
63,2018-10-25,2018,Final,4, ,False,110,103,9,Detroit,Detroit Pistons,6,Cleveland,Cleveland Cavaliers,1,0
64,2018-10-25,2018,Final,4, ,False,114,128,22,Orlando,Orlando Magic,25,Portland,Portland Trail Blazers,0,1
65,2018-10-25,2018,Final,4, ,False,95,101,21,Oklahoma City,Oklahoma City Thunder,2,Boston,Boston Celtics,0,1
66,2018-10-25,2018,Final,4, ,False,121,114,14,Los Angeles,Los Angeles Lakers,8,Denver,Denver Nuggets,1,0
73,2018-10-26,2018,Final,4, ,False,116,112,26,Sacramento,Sacramento Kings,30,Washington,Washington Wizards,1,0
72,2018-10-26,2018,Final,4, ,False,117,115,19,New Orleans,New Orleans Pelicans,3,Brooklyn,Brooklyn Nets,1,0
71,2018-10-26,2018,Final,4, ,False,95,125,18,Minnesota,Minnesota Timberwolves,17,Milwaukee,Milwaukee Bucks,0,1
