id,first_name,last_name,position,height,weight,jersey_number,college,country,draft_year,draft_round,draft_number,team.id,team.conference,team.division,team.city,team.name,team.full_name,team.abbreviation
3,Steven,Adams,C,6-11,265,12,Pittsburgh,New Zealand,2013,1.0,12.0,11,West,Southwest,Houston,Rockets,Houston Rockets,HOU
4,Bam,Adebayo,C-F,6-9,255,13,Kentucky,USA,2017,1.0,14.0,16,East,Southeast,Miami,Heat,Miami Heat,MIA
8,Grayson,Allen,G,6-4,198,8,Duke,USA,2018,1.0,21.0,24,West,Pacific,Phoenix,Suns,Phoenix Suns,PHX
9,Jarrett,Allen,C,6-9,243,31,Texas,USA,2017,1.0,22.0,6,East,Central,Cleveland,Cavaliers,Cleveland Cavaliers,CLE
12,Kyle,Anderson,F,6-9,230,1,UCLA,USA,2014,1.0,30.0,18,West,Northwest,Minnesota,Timberwolves,Minnesota Timberwolves,MIN
15,Giannis,Antetokounmpo,F,6-11,243,34,Filathlitikos,Greece,2013,1.0,15.0,17,East,Central,Milwaukee,Bucks,Milwaukee Bucks,MIL
18,OG,Anunoby,F,6-7,240,8,Indiana,United Kingdom,2017,1.0,23.0,20,East,Atlantic,New York,Knicks,New York Knicks,NYK
22,Deandre,Ayton,C,7-0,247,2,Arizona,Bahamas,2018,1.0,1.0,25,West,Northwest,Portland,Trail Blazers,Portland Trail Blazers,POR
24,Marvin,Bagley III,F,6-10,235,35,Duke,USA,2018,1.0,2.0,30,East,Southeast,Washington,Wizards,Washington Wizards,WAS
27,Lonzo,Ball,G,6-6,190,2,UCLA,USA,2017,1.0,2.0,5,East,Central,Chicago,Bulls,Chicago Bulls,CHI
28,Mo,Bamba,C,7-0,231,5,Texas,USA,2018,1.0,6.0,23,East,Atlantic,Philadelphia,76ers,Philadelphia 76ers,PHI
30,Harrison,Barnes,F,6-8,225,40,North Carolina,USA,2012,1.0,7.0,26,West,Pacific,Sacramento,Kings,Sacramento Kings,SAC
32,Keita,Bates-Diop,F,6-8,229,13,Ohio State,USA,2018,2.0,48.0,3,East,Atlantic,Brooklyn,Nets,Brooklyn Nets,BKN
33,Nicolas,Batum,F-G,6-8,230,40,Le Mans,France,2008,1.0,25.0,23,East,Atlantic,Philadelphia,76ers,Philadelphia 76ers,PHI
37,Bradley,Beal,G,6-4,207,3,Florida,USA,2012,1.0,3.0,24,West,Pacific,Phoenix,Suns,Phoenix Suns,PHX
38,Malik,Beasley,G,6-4,187,5,Florida State,USA,2016,1.0,19.0,17,East,Central,Milwaukee,Bucks,Milwaukee Bucks,MIL
44,Davis,Bertans,F,6-10,225,9,Baskonia,Latvia,2011,2.0,42.0,4,East,Southeast,Charlotte,Hornets,Charlotte Hornets,CHA
45,Patrick,Beverley,G,6-2,180,21,Arkansas,USA,2009,2.0,42.0,17,East,Central,Milwaukee,Bucks,Milwaukee Bucks,MIL
48,Bismack,Biyombo,C,6-8,255,15,Baloncesto Fuenlabrada,DRC,2011,1.0,7.0,21,West,Northwest,Oklahoma City,Thunder,Oklahoma City Thunder,OKC
53,Bogdan,Bogdanovic,G,6-5,225,13,Fenerbahce,Serbia,2014,1.0,27.0,1,East,Southeast,Atlanta,Hawks,Atlanta Hawks,ATL
54,Bojan,Bogdanovic,F,6-7,226,44,Fenerbahce,Croatia,2011,2.0,31.0,20,East,Atlantic,New York,Knicks,New York Knicks,NYK
57,Devin,Booker,G,6-6,206,1,Kentucky,USA,2015,1.0,13.0,24,West,Pacific,Phoenix,Suns,Phoenix Suns,PHX
61,Mikal,Bridges,F,6-6,209,1,Villanova,USA,2018,1.0,10.0,3,East,Atlantic,Brooklyn,Nets,Brooklyn Nets,BKN
62,Miles,Bridges,F,6-7,225,0,Michigan State,USA,2018,1.0,12.0,4,East,Southeast,Charlotte,Hornets,Charlotte Hornets,CHA
65,Malcolm,Brogdon,G,6-4,229,11,Virginia,USA,2016,2.0,36.0,25,West,Northwest,Portland,Trail Blazers,Portland Trail Blazers,POR
66,Dillon,Brooks,G-F,6-6,225,9,Oregon,Canada,2017,2.0,45.0,11,West,Southwest,Houston,Rockets,Houston Rockets,HOU
68,Troy,Brown Jr.,F,6-7,215,7,Oregon,USA,2018,1.0,15.0,9,East,Central,Detroit,Pistons,Detroit Pistons,DET
69,Bruce,Brown,G,6-4,202,11,Miami,USA,2018,2.0,42.0,28,East,Atlantic,Toronto,Raptors,Toronto Raptors,TOR
70,Jaylen,Brown,G,6-6,223,7,California,USA,2016,1.0,3.0,2,East,Atlantic,Boston,Celtics,Boston Celtics,BOS
73,Jalen,Brunson,G,6-2,190,11,Villanova,USA,2018,2.0,33.0,20,East,Atlantic,New York,Knicks,New York Knicks,NYK
74,Thomas,Bryant,C,6-10,248,31,Indiana,USA,2017,2.0,42.0,16,East,Southeast,Miami,Heat,Miami Heat,MIA
75,Reggie,Bullock,G-F,6-6,205,25,North Carolina,USA,2013,1.0,25.0,11,West,Southwest,Houston,Rockets,Houston Rockets,HOU
77,Alec,Burks,G,6-5,214,18,Colorado,USA,2011,1.0,12.0,20,East,Atlantic,New York,Knicks,New York Knicks,NYK
79,Jimmy,Butler,G-F,6-7,230,22,Marquette,USA,2011,1.0,30.0,16,East,Southeast,Miami,Heat,Miami Heat,MIA
81,Kentavious,Caldwell-Pope,G,6-5,204,5,Georgia,USA,2013,1.0,8.0,8,West,Northwest,Denver,Nuggets,Denver Nuggets,DEN
83,Clint,Capela,C,6-10,256,15,Elan Chalon,Switzerland,2014,1.0,25.0,1,East,Southeast,Atlanta,Hawks,Atlanta Hawks,ATL
85,Wendell,Carter Jr.,F,6-10,270,34,Duke,USA,2018,1.0,7.0,22,East,Southeast,Orlando,Magic,Orlando Magic,ORL
87,Jevon,Carter,G,6-1,200,5,West Virginia,USA,2018,2.0,32.0,5,East,Central,Chicago,Bulls,Chicago Bulls,CHI
100,Jordan,Clarkson,G,6-3,194,00,Missouri,USA,2014,2.0,46.0,29,West,Northwest,Utah,Jazz,Utah Jazz,UTA
101,John,Collins,F-C,6-9,226,20,Wake Forest,USA,2017,1.0,19.0,29,West,Northwest,Utah,Jazz,Utah Jazz,UTA
102,Zach,Collins,F-C,6-11,250,23,Gonzaga,USA,2017,1.0,10.0,27,West,Southwest,San Antonio,Spurs,San Antonio Spurs,SAS
104,Mike,Conley,G,6-0,175,10,Ohio State,USA,2007,1.0,4.0,18,West,Northwest,Minnesota,Timberwolves,Minnesota Timberwolves,MIN
105,Pat,Connaughton,G,6-5,209,24,Notre Dame,USA,2015,2.0,41.0,17,East,Central,Milwaukee,Bucks,Milwaukee Bucks,MIL
